monthly_salary_more,monthly_salary_under,child_num,amount
770,775,0,0
775,780,0,0
780,785,0,0
785,790,0,0
790,795,0,0
795,800,0,0
800,805,0,0
805,810,0,0
810,815,0,0
815,820,0,0
820,825,0,0
825,830,0,0
830,835,0,0
835,840,0,0
840,845,0,0
845,850,0,0
850,855,0,0
855,860,0,0
860,865,0,0
865,870,0,0
870,875,0,0
875,880,0,0
880,885,0,0
885,890,0,0
890,895,0,0
895,900,0,0
900,905,0,0
905,910,0,0
910,915,0,0
915,920,0,0
920,925,0,0
925,930,0,0
930,935,0,0
935,940,0,0
940,945,0,0
945,950,0,0
950,955,0,0
955,960,0,0
960,965,0,0
965,970,0,0
970,975,0,0
975,980,0,0
980,985,0,0
985,990,0,0
990,995,0,0
995,1000,0,0
1000,1005,0,0
1005,1010,0,0
1010,1015,0,0
1015,1020,0,0
1020,1025,0,0
1025,1030,0,0
1030,1035,0,0
1035,1040,0,0
1040,1045,0,0
1045,1050,0,0
1050,1055,0,0
1055,1060,0,0
1060,1065,0,1040
1065,1070,0,1110
1070,1075,0,1180
1075,1080,0,1250
1080,1085,0,1320
1085,1090,0,1390
1090,1095,0,1460
1095,1100,0,1530
1100,1105,0,1600
1105,1110,0,1670
1110,1115,0,1740
1115,1120,0,1810
1120,1125,0,1880
1125,1130,0,1950
1130,1135,0,2020
1135,1140,0,2090
1140,1145,0,2160
1145,1150,0,2230
1150,1155,0,2300
1155,1160,0,2370
1160,1165,0,2440
1165,1170,0,2500
1170,1175,0,2570
1175,1180,0,2640
1180,1185,0,2710
1185,1190,0,2780
1190,1195,0,2850
1195,1200,0,2920
1200,1205,0,2990
1205,1210,0,3060
1210,1215,0,3130
1215,1220,0,3200
1220,1225,0,3270
1225,1230,0,3340
1230,1235,0,3410
1235,1240,0,3480
1240,1245,0,3550
1245,1250,0,3620
1250,1255,0,3700
1255,1260,0,3810
1260,1265,0,3910
1265,1270,0,4010
1270,1275,0,4120
1275,1280,0,4220
1280,1285,0,4320
1285,1290,0,4430
1290,1295,0,4530
1295,1300,0,4630
1300,1305,0,4740
1305,1310,0,4840
1310,1315,0,4940
1315,1320,0,5050
1320,1325,0,5150
1325,1330,0,5250
1330,1335,0,5360
1335,1340,0,5460
1340,1345,0,5560
1345,1350,0,5670
1350,1355,0,5770
1355,1360,0,5870
1360,1365,0,5980
1365,1370,0,6080
1370,1375,0,6180
1375,1380,0,6290
1380,1385,0,6390
1385,1390,0,6490
1390,1395,0,6600
1395,1400,0,6700
1400,1405,0,6800
1405,1410,0,6910
1410,1415,0,7010
1415,1420,0,7110
1420,1425,0,7210
1425,1430,0,7320
1430,1435,0,7420
1435,1440,0,7520
1440,1445,0,7630
1445,1450,0,7730
1450,1455,0,7830
1455,1460,0,7940
1460,1465,0,8040
1465,1470,0,8140
1470,1475,0,8250
1475,1480,0,8350
1480,1485,0,8450
1485,1490,0,8560
1490,1495,0,8660
1495,1500,0,8760
1500,1510,0,8920
1510,1520,0,9120
1520,1530,0,9330
1530,1540,0,9540
1540,1550,0,9740
1550,1560,0,9950
1560,1570,0,10160
1570,1580,0,10360
1580,1590,0,10570
1590,1600,0,10780
1600,1610,0,10980
1610,1620,0,11190
1620,1630,0,11400
1630,1640,0,11600
1640,1650,0,11810
1650,1660,0,12020
1660,1670,0,12220
1670,1680,0,12430
1680,1690,0,12640
1690,1700,0,12840
1700,1710,0,13050
1710,1720,0,13260
1720,1730,0,13460
1730,1740,0,13670
1740,1750,0,13880
1750,1760,0,14080
1760,1770,0,14290
1770,1780,0,14500
1780,1790,0,14700
1790,1800,0,14910
1800,1810,0,15110
1810,1820,0,15320
1820,1830,0,15530
1830,1840,0,15730
1840,1850,0,15940
1850,1860,0,16150
1860,1870,0,16350
1870,1880,0,16560
1880,1890,0,16770
1890,1900,0,16970
1900,1910,0,17180
1910,1920,0,17390
1920,1930,0,17590
1930,1940,0,17800
1940,1950,0,18010
1950,1960,0,18210
1960,1970,0,18420
1970,1980,0,18630
1980,1990,0,18880
1990,2000,0,19200
2000,2010,0,19520
